word,count
model,6922
image,4098
3d,2542
video,2533
data,2000
propose,1990
feature,1984
performance,1922
generation,1780
object,1718
learning,1648
existing,1632
visual,1605
diffusion,1568
training,1558
introduce,1414
framework,1411
scene,1382
across,1377
demonstrate,1348
experiment,1319
however,1265
representation,1253
result,1241
datasets,1221
state-of-the-art,1164
dataset,1152
address,1125
motion,1077
extensive,1060
challenge,1054
benchmark,1044
large,951
diffusion model,945
paper,909
code,900
human,890
available,837
segmentation,832
semantic,830
first,814
work,811
reconstruction,809
network,805
show,783
pose,777
point,776
language,769
quality,767
extensive experiment,755
detection,751
dynamic,750
achieves,742
often,717
module,702
present,700
text,696
ha,691
space,688
's,686
diverse,681
domain,681
various,680
input,679
significant,679
vision,667
multimodal,663
process,654
strategy,652
due,651
prompt,651
significantly,640
temporal,630
also,628
multiple,628
real-world,625
gaussian,618
different,614
attention,612
capability,611
estimation,609
specifically,605
accuracy,595
effectively,595
knowledge,595
prediction,585
proposed,584
spatial,583
high-quality,580
outperforms,575
application,572
token,567
efficient,564
camera,563
recent,555
alignment,553
leverage,549
design,547
scenario,544
current,538
complex,535
issue,533
effectiveness,532
capture,531
depth,531
challenging,528
neural,524
generative,522
interaction,515
generate,513
sample,500
within,500
key,497
distribution,496
rendering,495
enhance,494
consistency,492
generalization,490
region,490
robust,481
existing method,480
effective,475
parameter,475
optimization,470
map,463
limitation,462
limited,462
editing,461
technique,460
language model,459
achieve,458
efficiency,453
loss,453
modeling,447
multi-view,439
local,434
previous,430
time,426
compared,424
code available,422
achieving,421
transformer,419
additionally,417
architecture,414
global,411
enabling,409
enables,407
improvement,404
including,402
content,401
designed,401
generated,400
field,398
detail,397
large-scale,397
reasoning,396
structure,396
control,395
vision-language,394
experimental,392
latent,392
concept,388
synthesis,388
experiment demonstrate,386
fine-grained,385
pre-trained,384
leveraging,383
modality,383
focus,382
cloud,378
face,378
ability,375
2d,369
mechanism,369
comprehensive,367
three,366
fine-tuning,364
computational,362
point cloud,361
generating,359
experimental result,356
llm,355
large language,352
--,351
shape,351
large language model,348
gap,346
system,344
zero-shot,336
synthetic,335
clip,334
propose novel,334
potential,330
superior,330
label,329
struggle,329
geometry,328
furthermore,327
context,326
robustness,320
fusion,319
trained,319
trajectory,319
study,317
yet,317
enhancing,316
improve,316
perception,316
geometric,314
matching,313
setting,312
adaptation,311
aim,311
noise,311
attack,308
multi-modal,308
splatting,308
foundation,307
learn,307
lack,306
vlms,303
mllms,302
adversarial,301
annotation,300
action,299
remains,299
employ,297
sampling,294
cost,292
query,291
state-of-the-art performance,289
source,286
vision-language model,286
better,284
sparse,284
paradigm,283
specific,283
sequence,282
solution,281
gaussian splatting,280
environment,279
classification,277
mask,276
component,274
flow,274
pipeline,274
adaptive,273
metric,273
use,271
condition,269
like,269
baseline,268
graph,268
instance,268
research,268
step,266
stage,265
guidance,264
appearance,262
extensive experiment demonstrate,261
recognition,261
consistent,259
need,259
produce,259
rely,257
strong,257
driving,256
precise,255
achieves state-of-the-art,254
additional,253
text-to-image,253
e.g.,252
reference,249
scale,249
downstream,248
enhances,248
algorithm,247
simple,247
leading,246
pair,246
improves,245
user,245
even,243
address challenge,242
tracking,242
denoising,241
real,241
crucial,240
foundation model,239
memory,239
relationship,238
retrieval,238
surface,238
typically,238
compression,237
category,236
deep,235
resolution,235
address issue,234
despite,234
distillation,234
attribute,233
dense,233
directly,232
used,232
anomaly,231
score,230
essential,229
realistic,229
mesh,228
output,228
particularly,228
provide,228
textual,228
state-of-the-art method,227
traditional,226
introduces,225
question,225
bias,224
paper propose,224
evaluate,223
maintaining,223
number,222
advancement,221
still,221
moreover,220
resulting,220
well,220
function,219
encoder,218
insight,218
neural network,217
head,216
reducing,216
3d gaussian,215
3d scene,213
critical,213
support,213
result demonstrate,212
self-supervised,212
train,211
transfer,211
image generation,210
style,210
texture,210
diversity,209
real-time,209
constraint,208
require,208
