word,count
model,6123
image,3614
3d,2224
video,2153
propose,1980
performance,1836
data,1778
feature,1745
existing,1644
learning,1638
generation,1611
object,1592
framework,1582
visual,1478
diffusion,1430
introduce,1396
demonstrate,1385
training,1381
across,1316
experiment,1298
scene,1248
motion,1227
representation,1216
datasets,1172
however,1169
address,1136
state-of-the-art,1113
benchmark,1111
dataset,1078
challenge,1050
extensive,1046
result,1043
code,860
segmentation,854
diffusion model,839
semantic,818
reconstruction,807
large,802
achieves,789
detection,788
extensive experiment,787
available,786
human,785
dynamic,758
first,756
paper,741
prompt,725
diverse,719
strategy,717
token,706
language,702
work,700
real-world,698
text,676
's,675
multimodal,657
show,655
multiple,652
module,650
quality,648
significantly,639
pose,636
temporal,636
attention,634
point,633
ha,631
process,629
knowledge,620
often,619
domain,617
prediction,612
due,598
significant,596
spatial,593
network,589
effectively,585
input,583
alignment,581
space,577
scenario,576
capability,575
efficient,575
camera,572
outperforms,557
reasoning,552
consistency,550
various,550
leverage,547
also,546
present,543
gaussian,540
specifically,540
vision,531
accuracy,529
design,528
key,524
recent,520
robust,518
effectiveness,517
estimation,517
generalization,516
complex,514
existing method,514
application,506
different,506
proposed,496
challenging,494
modeling,491
distribution,490
interaction,487
capture,483
depth,482
enhance,481
enabling,469
region,467
effective,461
mechanism,455
limitation,448
loss,447
issue,445
optimization,439
generative,435
within,432
large-scale,423
latent,421
architecture,420
fine-grained,419
current,418
modality,418
generate,416
language model,416
sample,414
map,413
efficiency,411
achieving,410
editing,410
high-quality,410
limited,410
local,409
leveraging,405
computational,400
code available,399
achieve,398
enables,397
transformer,396
action,395
additionally,395
vision-language,391
previous,390
ability,387
experiment demonstrate,385
compared,383
designed,379
gap,373
structure,369
parameter,368
global,367
technique,367
experimental,363
control,358
face,356
including,356
cloud,355
multi-view,354
rendering,352
struggle,351
geometric,344
condition,342
content,342
robustness,342
2d,341
adversarial,340
synthetic,340
system,340
point cloud,339
fusion,338
neural,337
noise,337
synthesis,337
time,336
pre-trained,334
detail,333
driving,332
experimental result,332
improvement,332
large language,331
--,330
context,330
generating,329
superior,329
yet,326
large language model,324
remains,323
matching,322
potential,322
furthermore,319
sampling,319
rely,318
fine-tuning,316
zero-shot,315
adaptation,314
enhancing,313
field,311
adaptive,310
cost,310
comprehensive,309
attack,308
annotation,307
distillation,305
generated,305
shape,305
three,303
llm,302
employ,301
focus,300
trajectory,300
improves,297
propose novel,297
environment,296
perception,295
leading,294
sequence,293
critical,291
guidance,290
mllms,290
pipeline,286
foundation,284
lack,284
vlms,284
metric,283
setting,283
category,282
consistent,282
component,281
state-of-the-art performance,281
e.g.,275
address challenge,274
aim,273
improve,273
score,273
baseline,271
instance,271
precise,270
study,270
enhances,269
paradigm,269
flow,267
introduces,267
vision-language model,267
geometry,265
clip,263
splatting,263
label,262
textual,262
source,260
step,259
constraint,258
memory,258
multi-modal,257
maintaining,256
solution,255
concept,254
query,252
sparse,251
directly,250
trained,250
research,249
achieves state-of-the-art,247
classification,245
extensive experiment demonstrate,245
deep,244
dense,243
gaussian splatting,243
state-of-the-art method,243
pattern,241
better,239
transfer,239
integrates,237
mask,237
recognition,237
strong,236
object detection,235
error,233
style,232
evaluate,231
result demonstrate,230
moreover,229
appearance,228
reducing,227
typically,226
unseen,226
additional,225
like,225
preserving,225
scale,225
crucial,224
localization,224
however existing,223
denoising,222
text-to-image,222
user,221
state,220
foundation model,219
reference,219
even,218
relationship,218
specific,218
inherent,215
tracking,215
attribute,214
learn,214
stage,214
thereby,214
use,214
complexity,213
gradient,213
description,212
autonomous,211
downstream,209
exhibit,207
particularly,207
embeddings,206
paper propose,206
image generation,205
provide,205
traditional,205
validate,205
despite,204
address issue,203
pair,203
degradation,202
realistic,202
hierarchical,201
joint,201
used,201
mesh,198
simple,198
agent,197
construct,197
signal,197
need,195
video generation,195
instruction,194
type,194
cue,193
output,193
still,193
bias,192
highly,192
support,191
surface,191
cross-modal,190
variation,190
processing,188
number,187
3d gaussian,186
grounding,186
produce,186
real,186
real-time,186
self-supervised,186
train,186
advance,185
integrating,184
3d scene,183
ensuring,183
head,183
manipulation,183
dynamically,182
supervision,182
mitigate,181
retrieval,181
perspective,180
requires,180
well,179
advancement,178
given,178
offer,178
property,178
algorithm,177
natural,177
patch,177
making,176
observation,176
unlike,176
detailed,175
learned,175
physical,175
identify,174
monocular,174
outperforms state-of-the-art,174
fidelity,173
identity,173
4d,172
end-to-end,172
experimental result demonstrate,172
texture,172
anomaly,171
background,171
function,171
insight,171
require,171
across diverse,170
promising,170
lead,168
requiring,168
unsupervised,168
autonomous driving,167
correlation,167
datasets demonstrate,167
enhanced,167
experiment show,167
primarily,167
second,167
world,167
contrastive,166
enable,166
provides,166
refinement,166
remarkable,166
resulting,166
facial,165
practical,165
standard,165
develop,164
essential,164
project,164
publicly,164
segment,164
achieves state-of-the-art performance,163
across various,163
bridge,163
demonstrating,163
graph,163
model 's,163
color,161
gaussians,161
shift,161
fail,160
guide,160
thus,160
generative model,159
objective,159
training-free,159
demonstrate method,158
generates,158
long,158
original,158
progress,158
question,158
diversity,157
training data,157
address limitation,156
diffusion-based,156
resolution,156
novel framework,155
outperforms existing,155
finally,154
fundamental,154
individual,154
medical,154
providing,154
handle,153
implicit,153
recently,153
across multiple,152
demonstrated,152
expert,152
extract,152
future,152
similarity,152
continuous,151
explicit,151
rate,151
structural,151
align,150
change,150
improved,150
challenge propose,149
correspondence,149
explicitly,149
fully,149
i.e.,149
reduces,149
3dgs,148
encoder,148
enhancement,148
pixel,148
success,147
ensure,146
general,146
simulation,146
artifact,145
semantics,145
consistently,144
demonstrate effectiveness,144
efficiently,144
lightweight,144
limiting,144
method achieves,144
perform,144
superior performance,143
embedding,142
selection,142
speed,142
optimal,141
tackle,141
encoding,140
pose estimation,140
computer,139
navigation,139
open-vocabulary,139
pre-training,139
detector,138
incorporating,138
make,138
publicly available,138
quantization,138
3d object,137
mapping,137
accurately,136
building,136
integrate,136
notably,136
autoregressive,135
beyond,135
compression,135
especially,135
existing approach,135
few-shot,135
allows,134
conventional,134
flexible,134
four,134
preference,134
restoration,134
sota,134
teacher,134
either,133
linear,133
may,133
scaling,133
boundary,132
latent space,132
online,132
size,132
among,131
noisy,131
perturbation,131
simultaneously,131
incorporates,130
issue propose,130
neural network,130
overcome,130
computational cost,129
method often,129
minimal,129
multimodal large,129
several,129
shown,129
supervised,129
term,129
conditional,128
occlusion,128
small,128
test,128
competitive,127
egocentric,127
manner,127
multimodal large language,127
powerful,127
reduce,127
suffer,127
allowing,126
varying,126
avatar,125
computer vision,125
demonstrates,125
explore,125
made,125
many,125
static,125
uncertainty,125
core,124
distinct,124
guided,124
planning,124
pretrained,124
search,124
substantial,124
tuning,124
block,123
incorporate,123
interactive,123
adapt,122
advanced,122
capturing,122
high-resolution,122
layout,122
adapter,121
distance,121
expression,121
stable,121
superiority,121
facilitate,120
limit,120
masked,120
preserve,120
semantic segmentation,120
similar,120
vector,120
address challenge propose,119
along,119
contextual,119
higher,119
outperforming,119
transformation,119
update,119
achieved,118
combine,118
policy,118
structured,118
frequency,117
high-fidelity,117
ood,117
corresponding,116
decoder,116
extraction,116
common,115
decomposition,115
find,115
performance across,115
scalable,115
sensor,115
viewpoint,115
3d gaussian splatting,114
adaptively,114
dependency,114
edge,114
introducing,114
jointly,114
characteristic,113
comparable,113
example,113
gain,113
generalizable,113
hand,113
mamba,113
normal,113
average,112
full,112
imaging,112
learns,112
limitation propose,112
page,112
rich,112
seamlessly,112
contrast,111
highlight,111
significantly outperforms,111
text prompt,111
advantage,110
difference,110
estimate,110
integration,110
lidar,110
paper introduce,110
diffusion transformer,109
model vlms,109
novel view,109
pruning,109
respectively,109
rgb,109
tailored,109
work propose,109
although,108
animation,108
discrete,108
across different,107
area,107
called,107
offering,107
overhead,107
position,107
proposed method,107
video diffusion,107
wide,107
activation,106
addition,106
address issue propose,106
matrix,106
movement,106
optical,106
refine,106
released,106
response,106
way,106
occupancy,105
progressive,105
project page,105
remain,105
us,105
labeled,104
learnable,104
predict,104
reliable,104
significant challenge,104
augmentation,103
controllable,103
direct,103
dit,103
element,103
finding,103
named,103
reveal,103
coherence,102
distortion,102
federated,102
hybrid,102
impact,102
mllm,102
negative,102
relevant,102
shared,102
task-specific,102
utilizes,102
direction,101
emerged,101
image editing,101
inspired,101
representation learning,101
robot,101
consists,100
embodied,100
generator,100
iterative,100
light,100
regularization,100
reward,100
decoding,99
nature,99
novel approach,99
privacy,99
relation,99
t2i,99
3d reconstruction,98
ai,98
applied,98
capable,98
coherent,98
demand,98
evaluating,98
fast,98
increase,98
inverse,98
lighting,98
material,98
unique,98
upon,98
vlm,98
addressing,97
conduct,97
robotic,97
student,97
utilize,97
caused,96
compact,96
depth estimation,96
hallucination,96
subject,96
behavior,95
introduced,95
pretraining,95
previous method,95
redundancy,95
address propose,94
ambiguity,94
discriminative,94
instead,94
introduce novel,94
model llm,94
quantitative,94
sam,94
specialized,94
test-time,94
view synthesis,94
visual token,94
computation,93
development,93
inconsistency,93
recent advance,93
sensing,93
branch,92
fixed,92
initial,92
lora,92
method outperforms,92
model mllms,92
overall,92
virtual,92
aggregation,91
establish,91
faster,91
highlighting,91
importance,91
language model llm,91
language model mllms,91
result show,91
two-stage,91
video understanding,91
annotated,90
benchmark demonstrate,90
complementary,90
foreground,90
human motion,90
merging,90
paper present,90
spatiotemporal,90
value,90
benefit,89
bridge gap,89
contrastive learning,89
exploration,89
forgetting,89
generation model,89
phase,89
real-world scenario,89
scheme,89
super-resolution,89
collaborative,88
deployment,88
factor,88
illumination,88
less,88
public,88
self-attention,88
stereo,88
suboptimal,88
tool,88
vision-language model vlms,88
applicability,87
base,87
differentiable,87
increasing,87
integrated,87
unknown,87
arbitrary,86
completion,86
dual,86
dynamic scene,86
handling,86
known,86
mitigating,86
backdoor,85
balance,85
deformation,85
effect,85
ensures,85
facilitating,85
important,85
inpainting,85
missing,85
paired,85
reconstruct,85
unlabeled,85
adaptability,84
causal,84
ground,84
obtain,84
represent,84
trade-off,84
aligns,83
alternative,83
case,83
exploit,83
heterogeneous,83
primitive,83
reduction,83
surpasses,83
address limitation propose,82
aligning,82
backbone,82
box,82
continual,82
generalized,82
however existing method,82
ii,82
innovation,82
intermediate,82
outperforms state-of-the-art method,82
reliance,82
requirement,82
surpassing,82
work introduce,82
create,81
goal,81
lvlms,81
multi-scale,81
scalability,81
short,81
spatio-temporal,81
utilizing,81
camera pose,80
character,80
client,80
input image,80
intrinsic,80
relative,80
temporally,80
apply,79
attention mechanism,79
auxiliary,79
benchmark datasets,79
best,79
calibration,79
contribution,79
creation,79
open,79
person,79
precision,79
separate,79
synthetic data,79
aligned,78
complete,78
convolution,78
extensive experiment show,78
high-level,78
identifying,78
long video,78
method rely,78
qualitative,78
remote,78
role,78
semantically,78
show method,78
spectral,78
widely,78
become,77
captured,77
classifier,77
defense,77
derived,77
expensive,77
extensive evaluation,77
form,77
remains challenging,77
simple yet,77
transition,77
volume,77
analyze,76
code model,76
encoders,76
impressive,76
inherently,76
largely,76
scene reconstruction,76
state-of-the-art result,76
transferability,76
unlearning,76
weather,76
wide range,76
decision,75
discrepancy,75
image quality,75
lmms,75
operation,75
significantly improves,75
adapting,74
affordance,74
anomaly detection,74
assessment,74
device,74
empirical,74
final,74
long-term,74
projection,74
resource,74
scarcity,74
solely,74
valuable,74
applying,73
assess,73
build,73
combining,73
conditioning,73
interpretable,73
low-light,73
multi-task,73
personalized,73
progressively,73
audio-visual,72
constrained,72
dimension,72
maintain,72
bridging,71
caption,71
convergence,71
difficulty,71
hard,71
image video,71
includes,71
low-rank,71
modification,71
novel view synthesis,71
raw,71
real-world application,71
transformer-based,71
universal,71
conditioned,70
cross-attention,70
generalize,70
involves,70
knowledge distillation,70
rather,70
risk,70
sequential,70
sketch,70
training strategy,70
video diffusion model,70
yet effective,70
compositional,69
forgery,69
insufficient,69
learning-based,69
model trained,69
preservation,69
regression,69
capacity,68
early,68
eliminating,68
holistic,68
overlook,68
since,68
deep learning,67
long-range,67
match,67
method significantly,67
observe,67
optical flow,67
reconstructing,67
registration,67
relying,67
reveals,67
temporal consistency,67
adjustment,66
automated,66
creating,66
measure,66
open-source,66
overfitting,66
recent advancement,66
referring,66
refines,66
residual,66
transform,66
translation,66
yield,66
3d point,65
aspect,65
boost,65
comprehension,65
degraded,65
effort,65
performs,65
plausible,65
producing,65
pseudo-labels,65
rapid,65
remote sensing,65
robotics,65
validate effectiveness,65
augmented,64
built,64
clustering,64
combination,64
combined,64
compared existing,64
explored,64
featuring,64
initialization,64
measurement,64
natural language,64
out-of-distribution,64
path,64
source code,64
stream,64
vision language,64
active,63
answering,63
audio,63
comparison,63
composition,63
focusing,63
method code,63
multi-view image,63
often struggle,63
order,63
rotation,63
safety,63
simple yet effective,63
skeleton,63
systematically,63
theoretical,63
u,63
acceleration,62
additionally introduce,62
advancing,62
automatically,62
encode,62
entire,62
fine-tuned,62
indoor,62
location,62
pre-trained model,62
related,62
semi-supervised,62
termed,62
3d gaussians,61
conducted,61
experiment across,61
extend,61
external,61
image-text,61
lower,61
margin,61
method across,61
multimodal model,61
particular,61
reference image,61
reinforcement,61
stability,61
understand,61
unified framework,61
vehicle,61
3d human,60
3d object detection,60
assumption,60
comprising,60
costly,60
decoupled,60
demonstrate approach,60
doe,60
generalization ability,60
key component,60
method struggle,60
mitigates,60
optimize,60
reliability,60
scene understanding,60
underlying,60
versatile,60
achieves superior,59
bottleneck,59
bounding,59
collection,59
comprises,59
coordinate,59
difficult,59
experimental result show,59
five,59
flexibility,59
high-frequency,59
historical,59
method typically,59
motion generation,59
personalization,59
principle,59
proposes,59
real-world datasets,59
removal,59
template,59
text-to-video,59
visual feature,59
achieving state-of-the-art,58
blur,58
challenging due,58
concern,58
cross-view,58
developing,58
following,58
graphic,58
larger,58
length,58
lie,58
optimized,58
optimizes,58
outperforms existing method,58
recovery,58
seamless,58
streaming,58
three key,58
urban,58
visually,58
computational overhead,57
cross-domain,57
density,57
establishing,57
feature space,57
high computational,57
image segmentation,57
inversion,57
mixture,57
outdoor,57
parallel,57
plug-and-play,57
popular,57
redundant,57
take,57
traffic,57
truth,57
autoencoder,56
candidate,56
employing,56
feedback,56
fewer,56
framework designed,56
generalizability,56
key challenge,56
key innovation,56
large vision-language,56
machine,56
optimizing,56
photorealistic,56
text-to-image diffusion,56
transport,56
ablation,55
brain,55
coarse,55
considering,55
evaluated,55
expressive,55
ground truth,55
ha emerged,55
large vision-language model,55
paper propose novel,55
parametric,55
partial,55
physically,55
propagation,55
radar,55
ratio,55
ray,55
skill,55
visual representation,55
activity,54
aggregate,54
art,54
bidirectional,54
bounding box,54
controllability,54
demonstrate superiority,54
detecting,54
efficacy,54
existing method often,54
filtering,54
gaussian splatting 3dgs,54
help,54
iteratively,54
manual,54
model generate,54
moment,54
poor,54
splatting 3dgs,54
teacher model,54
tracker,54
world model,54
approach leverage,53
association,53
attempt,53
clean,53
computationally,53
conflict,53
domain-specific,53
estimating,53
exposure,53
extracting,53
framework leverage,53
generated image,53
in-context,53
incremental,53
innovative,53
interpretability,53
latent diffusion,53
learning framework,53
meanwhile,53
medical image,53
model however,53
next,53
novel method,53
prompting,53
scan,53
smooth,53
text-to-image generation,53
therefore,53
answer,52
consistently outperforms,52
counterpart,52
datasets show,52
detect,52
discovery,52
disentangled,52
disentanglement,52
domain shift,52
establishes,52
formulation,52
image restoration,52
informative,52
instance segmentation,52
interference,52
interpolation,52
involving,52
multiple benchmark,52
pseudo,52
reduced,52
retraining,52
scene representation,52
single-view,52
spatial temporal,52
state space,52
subtle,52
success rate,52
address introduce,51
amount,51
associated,51
clinical,51
code dataset,51
code released,51
communication,51
confidence,51
covering,51
decoupling,51
effectiveness method,51
extreme,51
federated learning,51
gpu,51
grounded,51
image classification,51
in-the-wild,51
investigate,51
keypoint,51
maintains,51
major,51
method achieves state-of-the-art,51
misalignment,51
practice,51
predicted,51
prior work,51
probabilistic,51
question answering,51
reconstruction quality,51
satellite,51
sign,51
subsequently,51
visual grounding,51
2d image,50
broader,50
challenge introduce,50
contains,50
correction,50
extracted,50
facilitates,50
feed-forward,50
hoi,50
however method,50
interest,50
intricate,50
low-level,50
mobile,50
model performance,50
ood detection,50
open-world,50
operator,50
positive,50
refining,50
release,50
semantic information,50
strength,50
synthesize,50
text-to-image diffusion model,50
vulnerability,50
whether,50
action recognition,49
approach achieves,49
automatic,49
bev,49
computational efficiency,49
containing,49
controlled,49
current method,49
disparity,49
environmental,49
feature extraction,49
feature representation,49
fl,49
increasingly,49
intelligence,49
numerous,49
paper introduces,49
performance improvement,49
reason,49
selective,49
serve,49
solve,49
spurious,49
stylization,49
variety,49
adjacent,48
anything,48
avoiding,48
code publicly,48
commonly,48
continual learning,48
demonstrate proposed,48
digital,48
emerging,48
event-based,48
foundational,48
fuse,48
identification,48
localized,48
million,48
modern,48
one-step,48
overlapping,48
predefined,48
predicts,48
previously,48
probability,48
reinforcement learning,48
spatially,48
variational,48
vision transformer,48
balancing,47
could,47
demonstrate method achieves,47
followed,47
forecasting,47
forward,47
gaze,47
generalization capability,47
generalizes,47
granularity,47
heavily,47
image feature,47
image-based,47
independent,47
kernel,47
meaningful,47
model training,47
monocular depth,47
naturally,47
performance compared,47
predominantly,47
prior knowledge,47
proposal,47
random,47
reconstructs,47
seen,47
specifically first,47
synthesizing,47
trace,47
underexplored,47
unlike existing,47
visible,47
adapts,46
awareness,46
compared state-of-the-art,46
entropy,46
face challenge,46
filter,46
focused,46
generation quality,46
identifies,46
imagery,46
implement,46
method leverage,46
observed,46
outlier,46
power,46
promise,46
required,46
self-supervised learning,46
sparsity,46
specifically introduce,46
speedup,46
vae,46
year,46
3d point cloud,45
applies,45
captioning,45
cognitive,45
comprehensive experiment,45
construction,45
dance,45
diffusion prior,45
document,45
easily,45
effectiveness proposed,45
experiment demonstrate method,45
extensive experiment across,45
human pose,45
id,45
latency,45
loss function,45
malicious,45
manually,45
open-set,45
per,45
play,45
re-identification,45
segmentation model,45
sensitivity,45
significant progress,45
speech,45
subspace,45
t2i model,45
text-guided,45
video frame,45
visual textual,45
3d shape,44
ad,44
aerial,44
cause,44
clear,44
code publicly available,44
collected,44
developed,44
existing work,44
explanation,44
exploiting,44
failure,44
fall,44
found,44
generation method,44
gesture,44
ground-truth,44
hdr,44
imagenet,44
internal,44
issue introduce,44
large-scale dataset,44
line,44
motivated,44
multi-step,44
notable,44
nuscenes,44
pose significant,44
present novel,44
proxy,44
representing,44
scene generation,44
series,44
setup,44
sharing,44
solver,44
spectrum,44
suitable,44
targeted,44
variant,44
vision language model,44
visual quality,44
watermarking,44
ablation study,43
alongside,43
asset,43
broad,43
carefully,43
catastrophic,43
competitive performance,43
configuration,43
correct,43
excels,43
gained,43
guiding,43
image synthesis,43
labeling,43
mainly,43
method effectively,43
occluded,43
overcome limitation,43
pixel-level,43
protection,43
provided,43
r,43
scene graph,43
soft,43
student model,43
subsequent,43
substantially,43
testing,43
usually,43
visual prompt,43
vit,43
accelerate,42
access,42
adversarial attack,42
black-box,42
challenge due,42
coarse-to-fine,42
community,42
conduct extensive,42
constructing,42
deep neural,42
deep neural network,42
domain adaptation,42
domain gap,42
experiment demonstrate effectiveness,42
extends,42
first introduce,42
gap propose,42
generic,42
ha become,42
learning method,42
learning model,42
multi-stage,42
newly,42
often rely,42
overlooking,42
paper proposes,42
perceptual,42
physic,42
platform,42
precisely,42
prompt learning,42
recover,42
severe,42
simulated,42
spatial-temporal,42
strong performance,42
unit,42
vits,42
work present,42
3d representation,41
absence,41
address problem,41
adopt,41
also introduce,41
benchmarking,41
besides,41
deepfake,41
due lack,41
effectiveness approach,41
employed,41
encodes,41
estimated,41
hinder,41
independently,41
intensity,41
masking,41
mode,41
off-the-shelf,41
performance degradation,41
previous work,41
procedure,41
realism,41
remove,41
report,41
represents,41
strong generalization,41
text-to-image t2i,41
track,41
usage,41
widely used,41
word,41
address challenge introduce,40
address issue introduce,40
ar,40
blind,40
cad,40
choice,40
closely,40
compromising,40
critical challenge,40
define,40
deformable,40
depth map,40
dynamic object,40
edits,40
embedded,40
emotion,40
entity,40
estimator,40
experiment multiple,40
functional,40
knowledge transfer,40
meet,40
model code,40
much,40
object segmentation,40
parameter-efficient,40
primarily focus,40
prior method,40
relies,40
rl,40
showing,40
significant improvement,40
space model,40
specifically designed,40
surface reconstruction,40
synthetic real-world,40
text image,40
treat,40
weak,40
3d geometry,39
ai-generated,39
chart,39
copyright,39
excel,39
experiment conducted,39
extensive experimental,39
fine-tune,39
gap introduce,39
great,39
grid,39
however current,39
human-object,39
idea,39
incomplete,39
inconsistent,39
industrial,39
infrared,39
injection,39
large multimodal,39
lens,39
method primarily,39
object-centric,39
object-level,39
optimal transport,39
outperforms previous,39
