word,count
model,677
learning,480
video,457
generation,450
3d,443
image,431
diffusion,297
multimodal,284
visual,274
detection,223
reasoning,214
segmentation,192
object,189
vision-language,188
reconstruction,187
efficient,177
dynamic,165
gaussian,160
scene,154
framework,146
representation,145
large,129
vision-language model,128
alignment,126
language,125
motion,125
semantic,125
transformer,123
splatting,118
gaussian splatting,115
adaptive,111
diffusion model,108
generative,106
benchmark,104
editing,103
vision,103
modeling,100
estimation,95
optimization,93
network,91
robust,91
language model,90
latent,90
dataset,89
token,88
flow,87
human,87
feature,83
fusion,83
spatial,83
adaptation,80
neural,79
data,77
video generation,76
hierarchical,75
fine-grained,74
reinforcement,74
multi-view,73
training-free,73
synthesis,72
beyond,71
object detection,71
perception,69
recognition,69
3d gaussian,68
world,68
4d,66
distillation,66
point,66
large language,65
reinforcement learning,65
training,65
zero-shot,65
attention,64
prediction,64
temporal,63
test-time,63
large language model,62
matching,62
prompt,62
driving,60
autoregressive,59
pose,59
action,58
medical,58
tracking,58
control,57
interaction,57
grounding,56
foundation,55
3d gaussian splatting,54
enhancing,54
graph,54
consistency,51
geometry,51
multi-modal,51
retrieval,51
space,51
agent,50
foundation model,50
text-to-image,50
compression,49
monocular,49
anomaly,48
guidance,48
large-scale,48
open-vocabulary,48
autonomous,47
depth,46
geometric,46
image generation,46
manipulation,46
sparse,45
concept,44
generalizable,44
high-fidelity,44
rethinking,44
super-resolution,44
continual,43
few-shot,43
diffusion transformer,42
domain,42
mllms,42
reward,42
cross-modal,41
multimodal large,41
adversarial,40
anomaly detection,40
federated,40
guided,40
multimodal large language,40
scaling,40
self-supervised,40
video understanding,40
attack,39
autonomous driving,39
benchmarking,39
bridging,39
camera,39
cloud,39
controllable,39
text,39
sensing,38
3d reconstruction,37
contrastive,37
hallucination,37
llm,37
point cloud,37
classification,36
fast,36
memory,36
pose estimation,36
real-world,36
transfer,36
knowledge,35
navigation,35
real-time,35
long,34
semantic segmentation,34
active,33
planning,33
progressive,33
remote,33
unsupervised,33
end-to-end,32
feed-forward,32
image editing,32
localization,32
mitigating,32
refinement,32
streaming,32
avatar,31
field,31
universal,31
decomposition,30
dense,30
fine-tuning,30
generalization,30
scalable,30
consistent,29
diffusion-based,29
flow matching,29
head,29
policy,29
preference,29
remote sensing,29
restoration,29
synthetic,29
large vision-language,28
personalized,28
robotic,28
shape,28
trajectory,28
vision-language-action,28
3d object,27
assessment,27
comprehensive,27
hybrid,27
large vision-language model,27
multi-agent,27
online,27
physical,27
quality,27
representation learning,27
3d scene,26
collaborative,26
distribution,26
egocentric,26
embodied,26
expert,26
face,26
image segmentation,26
mesh,26
pretraining,26
supervision,26
view synthesis,26
world model,26
chain-of-thought,25
decoding,25
dual,25
generalized,25
heterogeneous,25
joint,25
spatio-temporal,25
text-to-image generation,25
enhanced,24
grounded,24
instance,24
lidar,24
matter,24
medical image,24
modality,24
multimodal model,24
noise,24
pruning,24
sampling,24
see,24
stereo,24
vision-language-action model,24
accelerating,23
animation,23
causal,23
completion,23
decoupling,23
global,23
imaging,23
intelligence,23
local,23
map,23
person,23
pixel,23
robot,23
selection,23
structured,23
unlocking,23
video diffusion,23
vlm,23
clustering,22
compositional,22
context,22
continual learning,22
cross-view,22
deep,22
denoising,22
enhancement,22
human motion,22
label,22
lightweight,22
perspective,22
precise,22
rendering,22
robustness,22
unifying,22
vision transformer,22
dynamic scene,21
image restoration,21
long video,21
neural network,21
residual,21
revisiting,21
test-time adaptation,21
advancing,20
correspondence,20
depth estimation,20
evaluating,20
gui,20
implicit,20
interactive,20
masked,20
merging,20
pre-training,20
re-identification,20
recovery,20
thinking,20
uncertainty,20
vision language,20
agentic,19
boosting,19
calibration,19
decoupled,19
event-based,19
federated learning,19
gradient,19
optimal,19
probabilistic,19
quality assessment,19
question,19
removal,19
spatiotemporal,19
spectral,19
3d object detection,18
condition,18
cross-domain,18
differentiable,18
discovery,18
diverse,18
document,18
embedding,18
gap,18
image super-resolution,18
mapping,18
meet,18
multimodal llm,18
novel view,18
real,18
registration,18
simulation,18
spatial reasoning,18
system,18
tuning,18
vlms,18
acceleration,17
ai-generated,17
answering,17
brain,17
degradation,17
environment,17
generating,17
generative model,17
high-quality,17
incremental,17
infrared,17
iterative,17
leveraging,17
motion generation,17
one-step,17
robotic manipulation,17
scale,17
structural,17
structure,17
time,17
unlearning,17
unleashing,17
virtual,17
2d,16
clip,16
continuous,16
expression,16
hand,16
high-resolution,16
in-context,16
indoor,16
interpretable,16
low-light,16
medical image segmentation,16
multi-task,16
multimodal reasoning,16
novel view synthesis,16
preference optimization,16
quantization,16
referring,16
score,16
search,16
semantics,16
vision language model,16
's,15
aerial,15
architecture,15
bias,15
capability,15
capture,15
category,15
compact,15
complex,15
correction,15
cue,15
design,15
exploration,15
image fusion,15
mask,15
metric,15
modulation,15
multi-scale,15
person re-identification,15
prompting,15
query,15
question answering,15
realistic,15
reflection,15
region,15
scene reconstruction,15
scene understanding,15
subspace,15
unified framework,15
unified multimodal,15
vector,15
video editing,15
video reasoning,15
wild,15
3d human,14
3d shape,14
across,14
anchor,14
articulated,14
audio-visual,14
backdoor,14
black-box,14
captioning,14
color,14
conditional,14
dataset distillation,14
deepfake,14
direct,14
edge,14
efficient video,14
geometry-aware,14
image compression,14
instruction,14
inverse,14
mitigation,14
mixture,14
monocular video,14
occupancy,14
panoramic,14
paradigm,14
policy optimization,14
post-training,14
stable,14
state,14
style,14
supervised,14
taming,14
transport,14
vision foundation,14
vision foundation model,14
visual geometry,14
visual grounding,14
action recognition,13
adapter,13
aligning,13
attribute,13
bayesian,13
breaking,13
data-efficient,13
detecting,13
discrete,13
extreme,13
general,13
head avatar,13
human-object,13
human-object interaction,13
image retrieval,13
large multimodal,13
large multimodal model,13
long-term,13
mamba,13
multiple,13
primitive,13
semi-supervised,13
shift,13
strategy,13
visual reasoning,13
3d generation,12
aggregation,12
ai-generated image,12
asymmetric,12
bidirectional,12
comprehensive benchmark,12
correlation,12
disentangled,12
disentanglement,12
