word,count
model,422
video,372
generation,335
3d,332
learning,270
image,266
diffusion,218
visual,187
reasoning,159
detection,157
multimodal,139
object,135
reconstruction,130
scene,129
gaussian,124
segmentation,119
efficient,109
representation,100
vision-language,97
benchmark,95
splatting,95
flow,89
gaussian splatting,89
semantic,89
dynamic,87
language,84
alignment,83
framework,82
motion,79
world,78
editing,75
synthesis,75
latent,73
robust,71
transformer,71
estimation,70
dataset,69
modeling,69
attention,67
human,66
vision-language model,66
matching,65
vision,65
spatial,64
video generation,64
generative,63
distillation,60
optimization,58
zero-shot,58
diffusion model,57
driving,57
autoregressive,55
grounding,54
adaptive,53
data,53
feature,53
adaptation,51
large,51
perception,51
token,51
3d gaussian,50
multi-view,50
beyond,49
training-free,48
world model,48
geometric,47
object detection,47
language model,46
neural,46
–,46
action,45
4d,44
agent,44
temporal,44
tracking,43
hierarchical,42
prediction,42
sparse,42
benchmarking,41
monocular,41
pose,41
control,40
depth,40
fusion,40
interaction,40
test-time,40
trajectory,40
3d gaussian splatting,39
anomaly,39
autonomous,39
point,39
super-resolution,39
foundation,38
geometry,38
image generation,38
recognition,38
reinforcement,38
space,38
guidance,37
autonomous driving,36
mllms,36
real-time,36
real-world,36
camera,35
consistent,35
foundation model,35
graph,35
reinforcement learning,35
training,35
vision-language-action,35
3d reconstruction,34
adversarial,34
large-scale,34
network,34
flow matching,33
knowledge,33
memory,33
online,33
retrieval,33
manipulation,32
pruning,32
controllable,31
medical,31
scaling,31
streaming,31
embodied,30
image editing,30
anomaly detection,29
egocentric,29
fast,29
multi-modal,29
navigation,29
refinement,29
reward,29
compression,28
scalable,28
video diffusion,28
3d scene,27
agentic,27
end-to-end,27
feed-forward,27
fine-grained,27
global,27
restoration,27
self-supervised,27
text-to-image,27
vision-language-action model,27
cloud,26
concept,26
consistency,26
cross-modal,26
face,26
few-shot,26
field,26
pose estimation,26
preference,26
prompt,26
rethinking,26
structured,26
continual,25
diffusion transformer,25
localization,25
physical,25
avatar,24
dense,24
enhancing,24
large language,24
llm,24
local,24
planning,24
sampling,24
transfer,24
universal,24
joint,23
large language model,23
map,23
open-vocabulary,23
rendering,23
view synthesis,23
compositional,22
denoising,22
expert,22
generalizable,22
guided,22
implicit,22
point cloud,22
policy,22
text,22
video understanding,22
attack,21
interactive,21
multimodal model,21
